nom,champ,avant,apres,source,extrait
Activimmo,prix_souscription,207,610,20260507-BTI-ActivImmo.pdf,"610,00€/part prix de souscription ; Le prix de souscription d'une part est fixé à six cent dix (610) euros"
Activimmo,prix_retrait,545.34,545.34,20260507-BTI-ActivImmo.pdf,"545,34€ valeur de retrait ; l'associé se retirant perçoit 545,34 euros"
Activimmo,tof,92.8,92.6,20260507-BTI-ActivImmo.pdf,"92,6% TOF (hors développements) au 31.03.2026"
Activimmo,endettement,1.46,0.48,20260507-BTI-ActivImmo.pdf,"0,48% endettement (dont 0,11% emprunt bancaire, 0,37% VEFA)"
Activimmo,nb_associes,28934,29645,20260507-BTI-ActivImmo.pdf,29 645 associés
Activimmo,nb_immeubles,186,179,20260507-BTI-ActivImmo.pdf,Actifs au 31.03.2026 : 179
Activimmo,nb_locataires,None,373,20260507-BTI-ActivImmo.pdf,373 locataires / 463 baux
Activimmo,repartition_geo,"{'France': 78.2, 'Espagne': 13.8, 'Portugal': 4.2, 'Italie': 1.5, 'Allemagne': 1","{'France': 77.5, 'Espagne': 13.4, 'Italie': 4.1, 'Pays-Bas': 2.8, 'Irlande': 1.0",20260507-BTI-ActivImmo.pdf,"Répartition géographique : France 77,5%, Espagne 13,4%, Italie 4,1%, Pays-Bas 2,8%, Irlande 1,0%, Portugal 0,9%, Allemagne 0,3%"
Activimmo,repartition_sectorielle,"{'Entrepôts logistiques': 51, ""Locaux d'activités"": 31, 'Logistique urbaine': 10","{'Entrepôt logistique': 53.2, ""Locaux d'activités"": 30.8, 'Logistique urbaine': ",20260507-BTI-ActivImmo.pdf,"Répartition typologique : 53,2% / 30,8% / 8,5% / 6,7% / 0,8%"
Activimmo,liquidite,None,parts en attente de retrait: 0,20260507-BTI-ActivImmo.pdf,Parts en attente de retrait en fin de période : 0 (T1 2026). Aucune transaction de gré à gré.
Activimmo,frequence_distribution,Trimestriel,mensuelle,20260507-BTI-ActivImmo.pdf,"Distribution mensuelle (janvier 2,54€, février 2,54€, mars 2,42€)"
Activimmo,frais_souscription,12.72,10.6,20260507-BTI-ActivImmo.pdf,"commission de souscription 10,6% HT (12,72% TTC)"
Activimmo,maximus_warnings,,Liquidité : parts en attente de retrait: 0,20260507-BTI-ActivImmo.pdf,parts en attente de retrait: 0
Aestiam Horizon,prix_retrait,315.00,315,2026-1t-bti-aestiam-horizon.pdf,315 € Prix de retrait
Aestiam Horizon,tof,86.5,88.65,2026-1t-bti-aestiam-horizon.pdf,"88,65 % TOF"
Aestiam Horizon,nb_associes,8557,8357,2026-1t-bti-aestiam-horizon.pdf,8 357 Nombre d'associés
