index;lot;nom_canonical;societe_gestion;statut_extraction;source_document;source_periode;prix_souscription;prix_retrait;valeur_realisation;valeur_reconstitution;capitalisation;nb_associes;nb_parts;nb_actifs;surface_m2;tof;taux_distribution_2025;pga_2025;tri_5ans;tri_10ans;tri_origine;dividende_brut_t1_2026;dividende_net_t1_2026;objectif_2026;endettement;parts_attente_retrait;frequence_distribution;type_capital;repartition_sectorielle_resume;repartition_geo_resume;alerte;confidence_score
1;1;Iroko Atlas;Iroko;extracted_bt_t1_2026;BT_T1_2026;T1 2026;200 €;200 €;188,27 €;204,87 €;120 M€;3 502;600 319;14;67,6 M€ (valeur);non extrait;non extrait;non extrait;non extrait;non extrait;4,83 €;3,91 €;non extrait;non extrait;0;mensuelle;variable;Commerces 63,6% / Bureaux 9% / Entrepôts 10%;UK 37,6% / PB 28,9% / DE 10,8% / ES 10,2%;-;0.88
2;1;Iroko Zen;Iroko;extracted_bt_t1_2026;BT_T1_2026;T1 2026;200 €;200 €;non extrait;non extrait;>300 M€;non extrait;non extrait;non extrait;non extrait;~97 %;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;0;mensuelle;variable;Diversifié pan-européen;Europe diversifiée;-;0.90
3;1;Comète;Alderan;extracted_bt_t1_2026;BT_T1_2026;T1 2026;208 €;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;trimestrielle;variable;Diversifié;Diversifié;-;0.88
4;1;Activimmo;Alderan;extracted_bt_t1_2026;BT_T1_2026;T1 2026;207 €;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;trimestrielle;variable;Logistique / Activité;France et Europe;-;0.90
5;1;NCap Continent;Norma Capital;extracted_bt_t1_2026;bt_ncap_continent_t1_2026.pdf;T1 2026;210 €;non extrait;non extrait;214,87 €;70,4 M€;2 089;340 396;18;non extrait;non extrait;7,10 %;7,10 %;non extrait;non extrait;non extrait;3,49 €;non extrait;6,80-7,30 % (non garanti);11,42 %;non extrait;mensuelle (depuis fév. 2026);variable;Pan-européen diversifié;Europe;-;0.90
6;1;Urban Cœur Commerce;Urban Premium;extracted_bt_t1_2026;UCC_BT_1T2026.pdf;T1 2026;303 €;264,31 €;267,15 €;322,86 €;92,4 M€;2 002;non extrait;non extrait;non extrait;91,95 %;5,30 %;6,30 %;non extrait;non extrait;non extrait;4,39 €;non extrait;5,70 % (non garanti);12,20 %;non extrait;trimestrielle;variable;Alim-resto 34% / Santé-sport 26%;Province 86% / IDF 14%;-;0.93
7;1;Aestiam Agora;Aestiam;extracted_bt_t1_2026;2026-1t-bti-aestiam-agora.pdf;T1 2026;922 €;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;193;468 M€ (VE);91,70 %;4,50 %;4,50 %;non extrait;non extrait;7,87 % (TRI 20 ans);8,91 €;8,82 €;4,5 % (non garanti);12 %;non extrait;trimestrielle;variable;Commerces 57% / Hôtels 34%;Paris 30% / IDF 29% / Europe 11%;-;0.93
8;1;Aestiam Horizon;Aestiam;extracted_bt_t1_2026;2026-1t-bti-aestiam-horizon.pdf;T1 2026;350 €;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;non extrait;5,10 %;5,10 %;non extrait;non extrait;8,63 % (TRI 20 ans);4,05 €;3,99 €;5,0 % (non garanti);11 %;non extrait;trimestrielle;variable;non extrait;France + Europe 12%;-;0.88
9;1;Efimmo 1;Sofidy;extracted_bt_t1_2026;EFIMMO-BT-1T-2026.pdf;T1 2026;212 €;non extrait;non extrait;non extrait;1 741 M€;21 517;non extrait;239 (1407 unités);1 656 M€;86,02 %;4,44 %;4,44 %;non extrait;non extrait;8,61 % (origine);2,00 €;non extrait;8-9 € ann. (non garanti);22 %;non extrait;trimestrielle;variable;Bureaux Europe;France + Europe;TOF 86% / Cessions ciblées;0.92
10;1;Pierval Santé;Euryale AM;extracted_bt_t1_2026_path_fixed;pierval_sante_bt_t1_2026_temp.pdf;T1 2026;204 €;non extrait;non extrait;non extrait;3 300 M€;non extrait;non extrait;non extrait;non extrait;94,59 %;4,39 % (TRI 10 ans);non extrait;non extrait;non extrait;non extrait;1,84 €;non extrait;non extrait;16,39 %;non extrait;trimestrielle;variable;Médico-social 71,7%;France + Europe Santé;-;0.93
