scpi,field,issue,severity
Coeur de Région,geo,repaired,info
Patrimmo Croissance Impact,td,zero_distribution,warning
NCap Régions,geo,labels_only,info
NCap Régions,sectorial,labels_only,info
Novapierre Résidentiel,td,zero_distribution,warning
Novaxia NEO,geo,labels_only,info
Novaxia NEO,delai_jouissance,nc_value,info
Optimale,geo,labels_only,info
GMA Essentialis,td,zero_distribution,warning
Grand Paris Résidentiel,td,zero_distribution,warning
LF Europimmo,geo,repaired,info
Log In,geo,labels_only,info
NCap Education Santé,geo,labels_only,info
Remake Live,geo,repaired,info
Perial Opportunités Europe,geo,repaired,info
Perial O2,geo,repaired,info
