nom_scpi,societe_gestion,annee_creation,profil_risque,label_isr,capitalisation_m,prix_souscription,valeur_retrait,surcote_decote_pct,valeur_reconstitution,valeur_realisation,taux_distribution_pct,distribution_par_part,endettement_pct,tof_pct,nombre_immeubles,minimum_souscription,delai_jouissance_mois,versement_loyers,duree_detention_recommandee_ans,frais_souscription_pct,sfdr,profil_cible,frais_gestion_pct,repartition_sectorielle_json,repartition_geo_json,_sect_status,_geo_status,_td_status,_delai_status,_data_status,_source_origin
Activimmo,Alderan,2019,3,Oui,1310.0,610.0,545.34,0.0,609.65,507.28,5.5,33.56,0.6,94.8,183,6100.0,6.0,Trimestriel,8.0,10.6,Article 8,Profil équilibré,10.0,"{""Entrepôts logistiques"": 51.0, ""Locaux d'activités"": 32.0, ""Logistique urbaine"": 9.0, ""Transports"": 7.0, ""Autres"": 1.0}","{""France - Dorsale logistique hors IDF"": 45.5, ""France - Autres régions"": 16.0, ""Espagne"": 14.0, ""France - Région parisienne"": 10.0, ""France - Arc atlantique"": 9.0, ""Italie"": 3.0, ""Irlande"": 1.0, ""Pays bas"": 1.0, ""Allemagne"": 0.5}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Aestiam Cap'Hebergimmo,Aestiam,2013,4,Oui,82.0,252.0,226.8,-5.76,238.51,194.9,3.18,8.01,21.0,91.79,12,2520.0,2.0,Trimestriel,10.0,10.0,Article 8,Profil équilibré,9.0,"{""Hôtels"": 71.0, ""Séminaires"": 27.0, ""Loisirs"": 2.0}","{""Étranger"": 42.0, ""Régions"": 35.0, ""Région Parisienne"": 23.0}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Aestiam Pierre Rendement,Aestiam,1990,3,Oui,401.0,922.0,829.8,-3.21,952.51,790.14,4.49,41.4,10.6,94.25,190,9220.0,2.0,Trimestriel,10.0,10.0,Article 6,Profil équilibré,10.0,"{""Commerces"": 69.0, ""Hôtels Séminaires"": 21.0, ""Bureaux"": 7.0, ""Enseignement"": 3.0}","{""Paris"": 37.0, ""Région Parisienne"": 30.0, ""Métropoles Régionales"": 27.0, ""Étranger"": 6.0}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Aestiam Placement Pierre,Aestiam,1986,3,Oui,380.0,350.0,315.0,0.0,348.04,288.64,5.4,17.85,13.0,90.4,150,350.0,2.0,Trimestriel,10.0,10.0,Article 8,Profil équilibré,9.5,"{""Bureaux"": 77.0, ""Commerces"": 16.0, ""Hôtels"": 3.0, ""Enseignement"": 2.0, ""Locaux d'activités"": 2.0}","{""Paris"": 20.0, ""Région Parisienne"": 30.0, ""Régions"": 39.0, ""Etranger"": 11.0}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Altixia Cadence 12,ALTIXIA REIM,2018,3,Oui,186.78,200.0,182.0,0.0,199.82,168.15,5.73,2.72,11.35,96.9,29,2000.0,2.0,Mensuel,9.0,9.0,Article 8,Profil équilibré,10.0,"{""Commerces"": 38.0, ""Activités"": 32.0, ""Bureaux"": 26.0, ""Logistique"": 4.0}","{""Régions"": 59.0, ""Ile-de-France"": 23.0, ""Espagne"": 9.0, ""Irlande"": 6.0, ""Paris"": 3.0}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Altixia Commerces,ALTIXIA REIM,2018,3,Oui,107.64,203.0,197.92,-2.66,208.54,187.35,5.12,2.49,5.1,90.77,22,2030.0,5.0,Trimestriel,9.0,2.5,Article 8,Profil équilibré,15.0,"{""Commerces en retail park"": 58.0, ""Commerces en pied d'immeuble"": 38.0, ""Bureaux et activités"": 4.0}","{""Régions"": 62.0, ""Ile-de-France"": 29.0, ""Paris"": 9.0}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Atream Hotel,Atream,2016,4,Oui,299.34,1000.0,900.0,-6.42,1068.55,878.1,5.05,12.62,24.87,100.0,22,5000.0,4.0,Trimestriel,10.0,10.0,Article 8,Profil équilibré,10.0,"{""Hôtels"": 71.0, ""Autres types d'hébergements touristiques"": 29.0}","{""France"": 33.0, ""Allemagne"": 30.0, ""Belgique"": 23.0, ""Pays-Bas"": 14.0}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Buroboutic Métropoles,FIDUCIAL Gérance,1986,3,Oui,318.5,230.0,207.0,-2.44,235.76,198.36,5.07,11.65,23.1,97.17,165,2300.0,3.0,Trimestriel,8.0,10.0,Article 8,Profil équilibré,9.5,"{""Locaux commerciaux"": 50.8, ""Bureaux"": 32.2, ""Locaux d'activités"": 17.0}","{""Régions"": 53.3, ""Ile-de-France"": 31.9, ""Paris"": 14.8}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
Coeur de Région,Sogenial Immobilier,2018,3,Oui,385.28,664.0,584.32,-2.83,683.32,557.24,6.2,10.3,9.39,96.62,80,2656.0,6.0,Trimestriel,10.0,10.0,Article 8,Profil équilibré,10.0,"{""Régions"": 85.2, ""Île-de-France"": 14.8}","{""Paris"": 49.6, ""Régions françaises"": 50.4}",parsed,repaired,ok,ok,legacy_fallback,legacy_dataset
Coeur de ville,Sogenial Immobilier,2013,3,Non,27.02,210.0,184.8,-3.24,217.04,177.78,5.3,2.79,18.2,98.04,31,2100.0,4.0,Trimestriel,10.0,10.0,Article 6,Profil équilibré,10.0,"{""Commerce alimentaire"": 46.12, ""Commerce non alimentaire"": 29.23, ""Services"": 21.43, ""Santé et éducation"": 3.22}","{""Province"": 84.4, ""Paris"": 15.6}",parsed,ok,ok,ok,legacy_fallback,legacy_dataset
