source_folder;canonical_name;societe_gestion;status_initial;status_final;traite_v3;traite_extraction_47;non_scpi;lot_extraction;confidence_score;extraction_status_detail;source_document;source_periode;prix_souscription;prix_retrait;valeur_realisation;valeur_reconstitution;capitalisation;nb_associes;nb_parts;nb_actifs;tof;taux_distribution_2025;dividende_brut_t1_2026;endettement;parts_en_attente;frequence_distribution;type_capital;repartition_sectorielle;repartition_geo;objectif_td;commentaire
SCPI NCAP Continent;NCap Continent;Norma Capital;to_extract_47;extracted_complete;NON;OUI;NON;1;0.9;extracted_bt_t1_2026;bt_ncap_continent_t1_2026.pdf;T1 2026;210 €;;;214,87 €;70,4 M€;2 089;340 396;18;non extrait;7,10 %;3,49 €;11,42 %;;mensuelle (depuis février 2026);variable;;;;Extraction complète BT T1 2026
SCPI Wemo One;Wemo One;Wemo REIM;to_extract_47;extracted_complete;NON;OUI;NON;3;0.88;extracted_bt_t1_2026;wemo_one_bt.pdf;T1 2026;200 € (revaluée 210 € en avril 2026);;;;121,9 M€;;;;100 %;15,27 % (lié à la jeunesse de la SCPI — investissement progressif du capital collecté en 2024);;;;mensuelle;variable;;;;Nom de dossier avec coquille (OIne). Fichiers présents. TD 2025 élevé lié à la jeunesse de la SCPI (collecte 2024).
Iroko Atlas;Iroko Atlas;Iroko;to_extract_47;extracted_complete;NON;OUI;NON;1;0.88;extracted_bt_t1_2026;BT_T1_2026 (Iroko Atlas);T1 2026;200 €;200 €;188,27 €;204,87 €;120 M€;3 502;600 319;14;non extrait T1 2026;non extrait;4,83 €;non extrait;0;mensuelle;variable;Commerces 63,6% / Bureaux 9,0% / Entrepôts 10,1% / Santé-hôtellerie-autre 11,6%;UK 37,6% / PB 28,9% / DE 10,8% / ES 10,2% / CZ 5,7% / IE 6,9%;;Extraction complète BT T1 2026
SCPI Remake UK 2025;Remake UK 2025;Remake AM;to_extract_47;extracted_partial;NON;OUI;NON;3;0.75;extracted_bt_t1_2026_partial;remake_uk_doc1.pdf (copie depuis document.pdf — BT N°2);T1 2026 (BT N°2);non extrait du BT (estimation: ~500€ d'après ratio brut/dividende);;;;;;;;;;48,4 € (inclut impôts UK);;;;variable (durée limitée);;;;SCPI à durée limitée 7 ans (jusqu'en 2032). Dividende net T1: 21€/part brut: 48,4€/part. Prix souscription non extrait du BT (BT axé marché UK). Documents génériques.
SCPI Momentime;Momentime;Theoreim;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3 — données non ré-extraites T1 2026
SCPI Mistral Sélection;Mistral Sélection;Fiducial Gérance;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Cœur Avenir;Cœur Avenir;Sogenial Immobilier;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI EDR Europa;EDR Europa;Edmond de Rothschild REIM;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Osmo Énergie;Osmo Énergie;Mata Capital;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
SCPI Eden;Eden;Alderan;processed_v3;processed_v3_complete;OUI;NON;NON;;0.85;;;V3 (données non ré-extraites T1 2026);;;;;;;;;;;;;;;;;;;Traitée dans V3
