nom,id,status,yield_effectif,yield_source,price,tof,nb_secteurs,secteurs_somme,nb_geo,geo_somme,capitalisation,source,issues,yield_ts,yield_json
Activimmo,1,OK,5.5,json,610,92.6,5,100.0,7,100.0,1400M€,extracted_t1_2026,,5.5,5.5
Aestiam Cap'Hebergimmo,2,OK,3.18,json,252,91.79,3,100.0,3,100.0,82M€,ancien_stock,,3.18,3.18
Aestiam Pierre Rendement,3,OK,4.49,json,922,94.25,4,100.0,4,100.0,401M€,ancien_stock,,4.49,4.49
Aestiam Horizon,4,OK,5.1,json,350,88.65,5,100.0,8,100.0,380M€,extracted_t1_2026,,5.1,5.1
Altixia Cadence 12,5,OK,5.15,json,200,92.5,4,100.0,5,100.0,190.36M€,extracted_t1_2026,,5.15,5.15
Altixia Commerces,6,OK,5.0,json,203,89.1,4,100.0,3,100.0,107.08M€,ancien_stock,,5.0,5.0
Atream Hotel,7,OK,5.05,json,1000,100,2,100.0,5,100.0,325.99M€,extracted_t1_2026,,5.05,5.05
Buroboutic Métropoles,8,OK,5.1,json,77,93.85,3,100.0,3,100.0,316M€,ancien_stock,,5.1,5.1
Coeur d'Europe,9,OK,6.25,json,204,95.02,4,100.0,4,100.0,256.2M€,extracted_t1_2026,,6.25,6.25
Coeur de Région,10,OK,6.2,json,664,95.03,5,100.0,2,100.0,435.63M€,ancien_stock,,6.2,6.2
Coeur de ville,11,OK,6.2,json,210,97.63,4,100.0,2,100.0,28.84M€,extracted_t1_2026,,6.2,6.2
Comète,12,OK,9,json,250,99.5,7,100.0,7,100.0,652.0M€,extracted_t1_2026,,9.0,9
Crédit Mutuel Pierre 1,13,OK,4.49,json,215,82.3,3,100.0,5,100.0,800.35M€,ancien_stock,,4.49,4.49
Cristal Life,14,OK,6.54,json,208,95.57,5,100.0,8,100.0,387.43M€,extracted_t1_2026,,6.54,6.54
Edissimo,15,OK,3.63,json,172,87.03,7,100.0,10,100.0,3030M€,ancien_stock,,3.63,3.63
Efimmo 1,16,ATTENTION,4.44,json,212,86.02,4,96.6,9,100.1,1741M€,extracted_t1_2026,SECTEURS_SOMME_INCORRECTE (96.6%),4.44,4.44
Épargne Foncière,17,OK,4.86,json,670,88.7,5,100.0,7,100.0,4142.67M€,extracted_t1_2026,,4.86,4.86
Épargne Pierre,18,OK,5.28,json,208,94.41,6,100.0,6,100.0,2811M€,extracted_t1_2026,,5.28,5.28
Épargne Pierre Europe,19,OK,6.75,json,200,99.88,5,100.0,5,100.0,635M€,ancien_stock,,6.75,6.75
