source_folder;canonical_name;societe_gestion;status_initial;status_final;traite_v3;traite_extraction_47;non_scpi;doublon;bloque;lot_extraction;confidence_score;extraction_status_detail;prix_souscription;taux_distribution_2025;source_document;commentaire
SCPI NCAP Continent;NCap Continent;Norma Capital;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.9;extracted_bt_t1_2026;210 €;7,10 %;bt_ncap_continent_t1_2026.pdf;Extraction complète BT T1 2026
SCPI Wemo One;Wemo One;Wemo REIM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.88;extracted_bt_t1_2026;200 € (revaluée 210 € en avril 2026);15,27 % (lié à la jeunesse de la SCPI — investissement progressif du capital collecté en 2024);wemo_one_bt.pdf;Nom de dossier avec coquille (OIne). Fichiers présents. TD 2025 élevé lié à la jeunesse de la SCPI (collecte 2024).
Iroko Atlas;Iroko Atlas;Iroko;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.88;extracted_bt_t1_2026;200 €;non extrait;BT_T1_2026 (Iroko Atlas);Extraction complète BT T1 2026
SCPI Remake UK 2025;Remake UK 2025;Remake AM;to_extract_47;extracted_partial;NON;OUI;NON;NON;NON;3;0.75;extracted_bt_t1_2026_partial;non extrait du BT (estimation: ~500€ d'après ratio brut/dividende);;remake_uk_doc1.pdf (copie depuis document.pdf — BT N°2);SCPI à durée limitée 7 ans (jusqu'en 2032). Dividende net T1: 21€/part brut: 48,4€/part. Prix souscription non extrait du BT (BT axé marché UK). Documents génériques.
SCPI Momentime;Momentime;Theoreim;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3 — données non ré-extraites T1 2026
SCPI Mistral Sélection;Mistral Sélection;Fiducial Gérance;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Cœur Avenir;Cœur Avenir;Sogenial Immobilier;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI EDR Europa;EDR Europa;Edmond de Rothschild REIM;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Osmo Énergie;Osmo Énergie;Mata Capital;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Eden;Eden;Alderan;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI LinaClub;LinaClub;Inter Gestion REIM;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Comète;Comète;Alderan;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.88;extracted_bt_t1_2026;208 €;non extrait;BT_T1_2026 (Comète);Extraction complète BT T1 2026
SCPI Optimale;Optimale;Consultim Asset Management;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.95;extracted_bt_t1_2026;255 €;6,50 %;032026-Bulletin-trimestriel.pdf;BT T1 2026 fourni manuellement par le client (032026-Bulletin-trimestriel.pdf). Extraction complete.
Epsicap Nano;Epsicap Nano;Epsicap;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.92;extracted_bt_t1_2026;257 €;6,08 %;epsicap_nano_bt.pdf;Extraction complète BT T1 2026
SCPI Transitions Europe;Transitions Europe;Arkéa REIM;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Remake Live;Remake Live;Remake AM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.93;extracted_bt_t1_2026;204 €;7,05 %;remake_live_doc1.pdf (copie depuis document.pdf);Noms de fichiers génériques (document.pdf). Identification BT confirmée à la lecture.
SCPI Elialys;Elialys;Elixis AM;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Eurovalys;Eurovalys;Advenis REIM;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Alta Convictions;Alta Convictions;Altarea Investment Managers;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.92;extracted_bt_t1_2026;308 €;6,57 %;alta_convictions_bt.pdf;Extraction complète BT T1 2026
Kyaneos Denormandie 4;Kyaneos Denormandie 4;Kyaneos AM;non_scpi_to_check;non_scpi_excluded;NON;NON;OUI;NON;NON;;;;;;;Produit Kyaneos Denormandie 4 — dispositif fiscal Denormandie — pas une SCPI classique. Exclu de l'extraction SCPI.
SCPI Foncière des Praticiens;Foncière des Praticiens;Fiducial Gérance;already_existing_no_create;already_in_system;NON;NON;NON;NON;NON;;0.8;;;;;Déjà présente dans MaximusSCPI — pas de recréation
Épargne Pierre Europe;Épargne Pierre Europe;Atland Voisin;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
Iroko Zen;Iroko Zen;Iroko;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.9;extracted_bt_t1_2026;200 €;non extrait;BT_T1_2026 (Iroko Zen);Extraction complète BT T1 2026
SCPI Log In;Log In;Theoreim;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.93;extracted_bt_t1_2026;255 €;6,21 % (brut);log_in_bt_t1.pdf;Extraction complète BT T1 2026
SCPI GMA Essentialis;GMA Essentialis;GMA REIM;already_existing_no_create;already_in_system;NON;NON;NON;NON;NON;;0.8;;;;;Déjà présente dans MaximusSCPI
SCPI Cristal Life;Cristal Life;Inter Gestion REIM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.93;extracted_bt_t1_2026;208 €;6,54 %;cristal_life_bt_t1.pdf;Extraction complète BT T1 2026
SCPI LF Avenir Santé;LF Avenir Santé;La Française REM;already_existing_no_create;already_in_system;NON;NON;NON;NON;NON;;0.8;;;;;Déjà présente dans MaximusSCPI
Grand Paris Résidentiel;Grand Paris Résidentiel;Foncière Magellan;already_existing_no_create;already_in_system;NON;NON;NON;NON;NON;;0.8;;;;;Déjà présente dans MaximusSCPI
SCPI Cœur Europe;Cœur Europe;Sogenial Immobilier;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.92;extracted_bt_t1_2026_path_fixed;204 €;6,25 % (brut);coeur_europe_bt_t1.pdf (copie depuis Bulletin-Trimestriel-1T-2026---Coeur-dEurope.pdf);Extraction complète BT T1 2026
Paref Evo;Paref Evo;Paref Gestion;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.92;extracted_bt_t1_2026;250 €;4,72 % (brut);paref_evo_bt.pdf;Extraction complète BT T1 2026
SCPI NCAP Éducation Santé;NCap Éducation Santé;Norma Capital;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Cristal Rente;Cristal Rente;Inter Gestion REIM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.92;extracted_bt_t1_2026;255,68 €;5,00 %;cristal_rente_bt.pdf;Extraction complète BT T1 2026
SCPI PERIAL Hospitalité Europe;PERIAL Hospitalité Europe;PERIAL AM;already_existing_no_create;already_in_system;NON;NON;NON;NON;NON;;0.8;;;;;Déjà présente — anciennement PERIAL Hôtel & Résidentiel
SCPI Activimmo;Activimmo;Alderan;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.9;extracted_bt_t1_2026;207 €;non extrait;BT_T1_2026 (Activimmo);Extraction complète BT T1 2026
NCap Régions;NCap Régions;Norma Capital;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.92;extracted_bt_t1_2026_path_fixed;682 €;5,72 %;ncap_regions_bt.pdf (copie depuis bt_ncap_regions_t1_2026.pdf);Extraction complète BT T1 2026
Urban Cœur Commerce;Urban Cœur Commerce;Urban Premium;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.93;extracted_bt_t1_2026;303 €;5,30 %;UCC_BT_1T2026.pdf;Extraction complète BT T1 2026
SCPI Sofiprime;Sofiprime;Sofidy;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.9;extracted_bt_t1_2026;280 €;0,54 %;SOFIPRIME-BT-1T-2026.pdf;Extraction complète BT T1 2026
SCPI Selectipierre 2 Paris;Selectipierre 2 Paris;Fiducial Gérance;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.97;extracted_bt_t1_2026;773 € (depuis 01/03/2023);4,14 %;selectipierre2_bt.pdf;Extraction complète BT T1 2026
SCPI Sélectinvest 1;Sélectinvest 1;Fiducial Gérance;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Rivoli Avenir Patrimoine;Rivoli Avenir Patrimoine;Amundi Immobilier;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.9;extracted_bs_s2_2025;228 €;3,68 % (calculé: 8,40€/228€);rivoli_ap_bs_s2_2025.pdf (Bulletin Semestriel S2 2025);Seul le bulletin semestriel S2 2025 disponible — pas de BT T1 2026. Distribution T1 2026 prévisionnelle indiquée.
SCPI Primovie;Primovie;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.95;extracted_bt_t1_2026;164 €;4,04 %;primovie_bt.pdf;Extraction complète BT T1 2026
SCPI Primopierre;Primopierre;Praemia REIM France;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Praemia Hôtels Europe;Praemia Hôtels Europe;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.95;extracted_bt_t1_2026;204 €;3,90 %;praemia_hotels_bt.pdf;Anciennement Primofamily. Changement de nom et de stratégie (→ hôtellerie) acté par visa AMF du 10 fév. 2026.
SCPI Aestiam Horizon;Aestiam Horizon;Aestiam;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.88;extracted_bt_t1_2026;350 €;5,10 %;2026-1t-bti-aestiam-horizon.pdf;Extraction complète BT T1 2026
SCPI Pierval Santé;Pierval Santé;Euryale AM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.93;extracted_bt_t1_2026_path_fixed;204 €;4,39 % (TRI 10 ans);pierval_sante_bt_t1_2026_temp.pdf (copie depuis SCPI Pierval Sant/BT_PIERVAL_SANTE_2026_T1.pdf);Extraction complète BT T1 2026
PERIAL O2;PERIAL O2;PERIAL AM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.95;extracted_bt_t1_2026;~164 € (calculé: 2 401 M€ / 14 643 842 parts);4,65 %;perial_o2_bt.pdf;Extraction complète BT T1 2026
SCPI Opportunités Europe;PERIAL Opportunités Europe;PERIAL AM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.95;extracted_bt_t1_2026_path_fixed;~44 € (après division par 20 au 01/01/2026 — anciennement ~880 €);6,10 %;opportunites_europe_bt.pdf (copie depuis SCPI Opportunit\u00e9s Europe/BT T1 2026);Extraction complète BT T1 2026
SCPI PERIAL Grand Paris;PERIAL Grand Paris;PERIAL AM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.95;extracted_bt_t1_2026;~458 € (calculé: 1 051 873 486 € / 2 296 667 parts);4,80 % (dont 1,45% de plus-values);perial_gp_bt.pdf;Extraction complète BT T1 2026
SCPI Patrimmo Croissance Impact;Patrimmo Croissance Impact;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.95;extracted_bt_t1_2026;677 €;0 % (SCPI nue-propriété — pas de revenus distribués);patrimmo_croissance_bt.pdf;Extraction complète BT T1 2026
SCPI Praemia;Patrimmo Commerce;Praemia REIM France;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.95;extracted_bt_t1_2026;160 €;3,38 %;patrimmo_commerce_bt.pdf;Dossier nommé SCPI Praemia — contient le BT Patrimmo Commerce. Praemia REIM France gère plusieurs SCPI sous la marque Praemia.
SCPI Novapierre 1;Novapierre 1;PAREF Gestion;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.95;extracted_bt_t1_2026;442 €;5,00 %;novapierre1_bt.pdf;Extraction complète BT T1 2026
SCPI Novaxia;Novaxia Néo;Novaxia Investissement;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.92;extracted_bt_t1_2026;176,68 €;5,50 %;novaxia_neo_bt.pdf;Extraction complète BT T1 2026
SCPI LF Opportunité Immo;LF Opportunité Immo;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.95;extracted_bt_t1_2026_path_fixed;203 €;stable (variation prix nulle en 2025);lf_opportunite_bt.pdf (copie depuis SCPI LF Opportunit\u00e9 Immo/G0_BT_20260331.pdf);Extraction complète BT T1 2026
LF Grand Paris Patrimoine;LF Grand Paris Patrimoine;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.95;extracted_bt_t1_2026;218 €;;lf_grand_paris_bt.pdf;Extraction complète BT T1 2026
SCPI Europimmo;LF Europimmo;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.95;extracted_bt_t1_2026;725 €;;europimmo_bt.pdf;Extraction complète BT T1 2026
SCPI Kyaneos;Kyaneos Pierre;Kyaneos AM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;3;0.9;extracted_bt_t1_2026;224 €;4,35 %;kyaneos_bt.pdf;Extraction complète BT T1 2026
SCPI HEXA;PAREF Hexa;PAREF Gestion;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.95;extracted_bt_t1_2026;172 €;6,00 %;hexa_bt.pdf;Extraction complète BT T1 2026
SCPI Immorente;Immorente;Sofidy;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.93;extracted_bt_t1_2026;340 €;5,00 % (brut);IMMORENTE-BT-1T-2026-1.pdf;Extraction complète BT T1 2026
SCPI Aestiam Agora;Aestiam Agora;Aestiam;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.93;extracted_bt_t1_2026;922 €;4,50 %;2026-1t-bti-aestiam-agora.pdf;Extraction complète BT T1 2026
SCPI Ficommerce Proximité;Ficommerce Proximité;Fiducial Gérance;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.95;extracted_bt_t1_2026_path_fixed;70 € (depuis 01/01/2026 — anciennement 210 €, division par 3);5,10 %;ficommerce_bt.pdf (copie depuis SCPI FiCommerce Proximit\u00e9/BTI Ficommerce T1 2026.pdf);Division du nominal par 3 au 01/01/2026 (anciennement 210€/part → 70€/part). Dividende maintenu en valeur absolue pour les associés.
SCPI Épargne Pierre;Épargne Pierre;Atland Voisin;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.93;extracted_bt_t1_2026;208 €;5,28 %;BPI1T2026-EP.pdf;Extraction complète BT T1 2026
SCPI Épargne Foncière;Épargne Foncière;La Française REM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.9;extracted_bt_t1_2026;670 €;4,86 %;EE_BT_20260331.pdf;Extraction complète BT T1 2026
SCPI Efimmo 1;Efimmo 1;Sofidy;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;1;0.92;extracted_bt_t1_2026;212 €;4,44 %;EFIMMO-BT-1T-2026.pdf;Extraction complète BT T1 2026
SCPI Edissimmo;Edissimmo;Amundi Immobilier;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Cœur de Ville;Cœur de Ville;Sogenial Immobilier;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;2;0.92;extracted_bt_t1_2026_path_fixed;210 €;6,20 %;coeur_ville_bt_t1.pdf (copie depuis Bulletin-Trimestriel-1T-2026---Coeur-de-Ville.pdf);Extraction complète BT T1 2026
SCPI Cœur de Régions;Cœur de Régions;Sogenial Immobilier;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
Crédit Mutuel Pierre 1;Crédit Mutuel Pierre 1;La Française REM;already_existing_no_create;already_in_system;NON;NON;NON;NON;NON;;0.8;;;;;Déjà présente dans MaximusSCPI
SCPI Buroboutic;Buroboutic;Theoreim;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Atream Hôtels;Atream Hôtels;Atream;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;4;0.97;extracted_bt_t1_2026;1 000 €;5,05 %;atream_hotels_bt.pdf;Extraction complète BT T1 2026
SCPI Altixia Commerces;Altixia Commerces;Altixia REIM;processed_v3;processed_v3_complete;OUI;NON;NON;NON;NON;;0.85;;;;;Traitée dans V3
SCPI Altixia Cadence XII;Altixia Cadence XII;Altixia REIM;to_extract_47;extracted_complete;NON;OUI;NON;NON;NON;5;0.93;extracted_bt_t1_2026;200 €;5,15 %;altixia_cadence12_doc1.pdf (doc1-20260430-122013.pdf — BT T1 2026);Noms de fichiers génériques (doc1-date.pdf). BT T1 2026 identifié via le fichier daté d'avril 2026.
