nom_scpi;statut_qa;prix_souscription;valeur_reconstitution;unite_vr;vr_par_part;vr_globale_derivee;valeur_reconstitution_ajustee;split_detecte;split_ratio;split_applique;decote_surcote_percent;label;document_source;page_source;decision_qa
Activimmo;publishable;610;616.58;EUR/part;true;false;;false;;false;-1.07;decote;20250410-Rapport-annuel-2025-ActivImmo.pdf;6;"Publiable — VR par part, écart cohérent."
Aestiam Agora;publishable;922;965.93;EUR/part;true;false;;false;;false;-4.55;decote;2026-1t-bti-aestiam-agora.pdf;5;"Publiable — VR par part, écart cohérent."
Aestiam Horizon;publishable;350;347.63;EUR/part;true;false;;false;;false;0.68;surcote;2026-1t-bti-aestiam-horizon.pdf;5;"Publiable — VR par part, écart cohérent."
Alta Convictions;publishable;308;333.68;EUR/part;true;false;;false;;false;-7.7;decote;24032026_ALTA_BUL_TRIMESTRIEL_T1_26_PPP_WEB.pdf;5;"Publiable — VR par part, écart cohérent."
Altixia Cadence XII;publishable;200;199.4;EUR/part;true;false;;false;;false;0.3;surcote;doc1-20260430-122013.pdf;11;"Publiable — VR par part, écart cohérent."
Altixia Commerces;publishable;203;203.48;EUR/part;true;false;;false;;false;-0.24;decote;doc1-20260430-110640.pdf;4;"Publiable — VR par part, écart cohérent."
Atream Hotel;publishable;1000;1064.33;EUR/part;true;false;;false;;false;-6.04;decote;Bulletin-N2026_1T-SCPI_Atream_Hotels_WEB_10-PAGES-1.pdf;2;"Publiable — VR par part, écart cohérent."
Buroboutic;publishable;77;229.76;EUR/part;true;false;76.59;true;3;true;0.54;surcote;BTI Buroboutic T1 2026.pdf;2;Publiable — split appliqué et VR ajustée par part.
Cœur Avenir;publishable;200;217.47;EUR/part;true;false;;false;;false;-8.03;decote;Rapport-annuel-2025-–-Coeur-dAvenir.pdf;12;"Publiable — VR par part, écart cohérent."
Cœur d'Europe;publishable;204;219.47;EUR/part;true;false;;false;;false;-7.05;decote;Bulletin-Trimestriel-1T-2026-–-Coeur-dEurope.pdf;5;"Publiable — VR par part, écart cohérent."
Coeur de régions;publishable;664;683.82;EUR/part;true;false;;false;;false;-2.9;decote;Bulletin-Trimestriel-1T-2026-–-Coeur-de-Regions.pdf;5;"Publiable — VR par part, écart cohérent."
Coeur de ville;publishable;210;224.28;EUR/part;true;false;;false;;false;-6.37;decote;Bulletin-Trimestriel-1T-2026-–-Coeur-de-Ville.pdf;5;"Publiable — VR par part, écart cohérent."
Comete;publishable;250;253.83;EUR/part;true;false;;false;;false;-1.51;decote;20260410-Rapport-annuel-2025-Comete-1.pdf;6;"Publiable — VR par part, écart cohérent."
Crédit Mutuel Pierre 1;publishable;215;219.5;EUR/part;true;false;;false;;false;-2.05;decote;A7_BT_20260331.pdf;4;"Publiable — VR par part, écart cohérent."
Cristal Life;publishable;208;226.69;EUR/part;true;false;;false;;false;-8.24;decote;IG_CLBulletin_Trimestriel2026_T1.pdf;2;"Publiable — VR par part, écart cohérent."
Cristal Rente;publishable;255.68;269.32;EUR/part;true;false;;false;;false;-5.06;decote;IG_CRBulletin_Trimestriel2026_T1.pdf;2;"Publiable — VR par part, écart cohérent."
Eden;publishable;50;49.5;EUR;true;false;;false;;false;1.01;surcote;Eden-BT-1T-2026.pdf;8;"Publiable — VR par part, écart cohérent."
Edissimmo;manual_review;172;161.54;EUR/part;true;true;;false;;false;;;EDISSIMMO - Bulletin Semestriel 2025 S2.pdf;1;VR issue d'une valeur globale (M€) ramenée par part — source nb de parts à valider.
EDR Europa;publishable;200;220.66;EUR/part;true;false;;false;;false;-9.36;decote;SCPI-Edmond-de-Rothschild-Europa-Bulletin-dinformation-T1-2026.pdf;4;"Publiable — VR par part, écart cohérent."
Efimmo 1;publishable;212;197.32;EUR/part;true;false;;false;;false;7.44;surcote;NI-EF-042026.pdf;9;"Publiable — VR par part, écart cohérent."
Elialys;publishable;204;218.8;EUR/part;true;false;;true;5;false;-6.76;decote;Elialys-BT-1T-2026.pdf;10;"Publiable — VR par part, écart cohérent."
Épargne Foncière;publishable;670;704.15;EUR/part;true;false;;false;;false;-4.85;decote;EE_BT_20260331.pdf;4;"Publiable — VR par part, écart cohérent."
Epargne Pierre;publishable;208;207.22;EUR/part;true;false;;false;;false;0.38;surcote;BPI1T2026-EP.pdf;5;"Publiable — VR par part, écart cohérent."
Epargne Pierre Europe;publishable;200;205.4;EUR/part;true;false;;false;;false;-2.63;decote;BPI1T2026-EPE-web-2.pdf;5;"Publiable — VR par part, écart cohérent."
Epsicap Nano;publishable;257;279.57;EUR/part;true;false;;false;;false;-8.07;decote;Epsicap-Nano-Note-dinformation-2026.05.pdf;11;"Publiable — VR par part, écart cohérent."
Europa;publishable;200;220.66;EUR/part;true;false;;false;;false;-9.36;decote;SCPI-Edmond-de-Rothschild-Europa-Bulletin-dinformation-T1-2026.pdf;4;"Publiable — VR par part, écart cohérent."
Europimmo;publishable;725;773.78;EUR/part;true;false;;false;;false;-6.3;decote;D1_BT_20260331.pdf;4;"Publiable — VR par part, écart cohérent."
Eurovalys;publishable;960;961.23;EUR/part;true;false;;false;;false;-0.13;decote;Eurovalys-BT-16-2026.pdf;10;"Publiable — VR par part, écart cohérent."
Ficommerce Proximité;publishable;70;207.88;EUR/part;true;false;69.29;true;3;true;1.02;surcote;BTI Ficommerce T1 2026.pdf;2;Publiable — split appliqué et VR ajustée par part.
Foncière des praticiens;publishable;1100;1048.65;EUR/part;true;false;;false;;false;4.9;surcote;BT-1T-2026-Fonciere-des-Praticiens.pdf;7;"Publiable — VR par part, écart cohérent."
GMA Essentialis;publishable;206;208.04;EUR/part;true;false;;false;;false;-0.98;decote;SCPI_GMA_Essentialis_-_Bulletin_dInformation_P3_2025.pdf;3;"Publiable — VR par part, écart cohérent."
Grand Paris Résidentiels;publishable;200;186.25;EUR/part;true;false;;false;;false;7.38;surcote;IG_RapportAnnuel_2025GPR.pdf;16;"Publiable — VR par part, écart cohérent."
HEXA;publishable;172;170.24;EUR/part;true;false;;true;5;false;1.03;surcote;d5acee18-1994-48e5-ac76-d343abbcf566-BTI-T1-2026-PAREF-Hexa.pdf;3;"Publiable — VR par part, écart cohérent."
Immorente;publishable;340;321.03;EUR/part;true;false;;false;;false;5.91;surcote;IMMORENTE-BT-1T-2026-1.pdf;5;"Publiable — VR par part, écart cohérent."
Iroko Atlas;publishable;200;204.87;EUR/part;true;false;;false;;false;-2.38;decote;Iroko_Atlas_rapport_annuel_2025.pdf;18;"Publiable — VR par part, écart cohérent."
IrokoZen;publishable;204;213.94;EUR/part;true;false;;false;;false;-4.65;decote;Iroko_Zen_Rapport_annuel_2025.pdf;56;"Publiable — VR par part, écart cohérent."
Kyaneos;publishable;224;226.2;EUR/part;true;false;;false;;false;-0.97;decote;BT-T1-2026-KP.pdf;4;"Publiable — VR par part, écart cohérent."
Kyaneos Denormandie 4;excluded_non_scpi;;;;false;false;;false;;false;;;;;Produit Denormandie — hors périmètre SCPI. Exclu définitivement.
Lf Avenir Sante;publishable;300;302.3;EUR/part;true;false;;false;;false;-0.76;decote;Q1_BT_20260331.pdf;4;"Publiable — VR par part, écart cohérent."
LF Grand Paris Patrimoine;publishable;218;216.96;EUR/part;true;false;;false;;false;0.48;surcote;Z2_BT_20260331.pdf;4;"Publiable — VR par part, écart cohérent."
LF Opportunité Immo;publishable;203;214.64;EUR/part;true;false;;false;;false;-5.42;decote;G0_BT_20260331.pdf;4;"Publiable — VR par part, écart cohérent."
LinaClub;publishable;200;221.21;EUR/part;true;false;;false;;false;-9.59;decote;2026-1t-bti-linaclub.pdf;5;"Publiable — VR par part, écart cohérent."
Log In;publishable;255;266.73;EUR/part;true;false;;false;;false;-4.4;decote;Bulletin-Trimestriel-LOG-IN-T1-2026.pdf;2;"Publiable — VR par part, écart cohérent."
Mistral Sélection;publishable;180;182.19;EUR/part;true;false;;false;;false;-1.2;decote;Bulletin_Trimestriel_SCPI_Mistral_Sélection_Mars_26.pdf;4;"Publiable — VR par part, écart cohérent."
Momentime;publishable;200;201.52;EUR;true;false;;false;;false;-0.75;decote;arkea-reim_momentime-ra-2025_2026-05-18_18-57-3_262.pdf;18;"Publiable — VR par part, écart cohérent."
NCAP Continent;publishable;210;214.87;EUR/part;true;false;;false;;false;-2.27;decote;bt_ncap_continent_t1_2026.pdf;4;"Publiable — VR par part, écart cohérent."
NCAP Education Santé;publishable;202;198.35;EUR/part;true;false;;false;;false;1.84;surcote;bt_ncap_education_sante_t1_2026.pdf;4;"Publiable — VR par part, écart cohérent."
NCap Régions;publishable;682;698.26;EUR/part;true;false;;false;;false;-2.33;decote;bt_ncap_regions_t1_2026.pdf;4;"Publiable — VR par part, écart cohérent."
Novapierre 1;publishable;442;436.06;EUR/part;true;false;;false;;false;1.36;surcote;5d377050-5149-4b11-9968-ac9cecb2c92c-BTI-T1-2026-Novapierre-1.pdf;3;"Publiable — VR par part, écart cohérent."
Novaxia NEO;manual_review;187;150.41;EUR/part;true;false;;false;;false;;;NOVAXIA-NEO-Note-dInformation-V23.04.2026.pdf;20;Écart 24.33 % > 20 % — manual_review (justification documentaire requise).
Opportunités Europe;publishable;44;858.51;EUR/part;true;false;42.93;true;20;true;2.49;surcote;69f34e5194509a2ff583710d_POE BTI T1 2026.pdf;7;Publiable — split appliqué et VR ajustée par part.
Optimale;manual_review;255;;EUR/part;false;false;;false;;false;;;PLAQUETTE_SCPI_2026_Fev_V2.pdf;2;Neutralisée : valeur de reconstitution non exprimée par part (valeur globale ou nb de parts non sourcé) — calcul non publié.
Osmo Energie;publishable;300;294.19;EUR/part;true;false;;false;;false;1.97;surcote;BTI OSMO ENERGIE T3 2025.pdf;2;"Publiable — VR par part, écart cohérent."
Paref Evo;publishable;250;245.04;EUR/part;true;false;;false;;false;2.02;surcote;8a9a6304-115c-4362-a792-09d176a013bf-BTI-T1-2026-PAREF-Evo.pdf;3;"Publiable — VR par part, écart cohérent."
Patrimmo Commerce;publishable;160;151.36;EUR;true;false;;false;;false;5.71;surcote;PRAEMIA_BTI_Patrimmo Commerce_T1_2026.pdf;3;"Publiable — VR par part, écart cohérent."
Patrimmo Croissance Impact;publishable;677;678.58;EUR/part;true;false;;false;;false;-0.23;decote;Rapport Annuel 2024 Patrimmo Croissance Impact.pdf;40;"Publiable — VR par part, écart cohérent."
Perial Grand Paris;publishable;458;423.34;EUR/part;true;false;;false;;false;8.19;surcote;69f21276045720608dcec789_PGP BTI T1 2026.pdf;7;"Publiable — VR par part, écart cohérent."
Perial Hospitalité Europe;publishable;181;176.47;EUR;true;false;;false;;false;2.57;surcote;69f211f2615fb9af629c1495_PHE BTI T1 2026.pdf;10;"Publiable — VR par part, écart cohérent."
Perial O2;publishable;164;150.73;EUR/part;true;false;;false;;false;8.8;surcote;Rapport annuel_PO2_sfdr_2025.pdf;12;"Publiable — VR par part, écart cohérent."
Pierval Santé;publishable;204;199.2;EUR/part;true;false;;false;;false;2.41;surcote;BT_PIERVAL_SANTE_2026_T1.pdf;4;"Publiable — VR par part, écart cohérent."
