scpi_name,field,old_value,new_value,unit,source_document,extract,status,comment
Activimmo,prix_souscription,207,610,EUR,20260507-BTI-ActivImmo.pdf,"610,00€/part prix de souscription ; Le prix de souscription d'une part est fixé à six cent dix (610) euros",verified,
Activimmo,prix_retrait,545.34,545.34,EUR,20260507-BTI-ActivImmo.pdf,"545,34€ valeur de retrait ; l'associé se retirant perçoit 545,34 euros",verified,
Activimmo,taux_distribution,5.5,5.5,%,20260507-BTI-ActivImmo.pdf,"L'objectif de distribution pour 2025 est fixé à 5,50%",verified,objectif de distribution 2025 (BT ne mentionne pas de TD réalisé)
Activimmo,capitalisation,1400,1400,MEUR,20260507-BTI-ActivImmo.pdf,"1,4Md€ capitalisation au 31.03.2026",verified,
Activimmo,tof,92.8,92.6,%,20260507-BTI-ActivImmo.pdf,"92,6% TOF (hors développements) au 31.03.2026",verified,
Activimmo,endettement,1.46,0.48,%,20260507-BTI-ActivImmo.pdf,"0,48% endettement (dont 0,11% emprunt bancaire, 0,37% VEFA)",verified,
Activimmo,nb_associes,28934,29645,associés,20260507-BTI-ActivImmo.pdf,29 645 associés,verified,
Activimmo,nb_immeubles,186,179,actifs,20260507-BTI-ActivImmo.pdf,Actifs au 31.03.2026 : 179,verified,
Activimmo,nb_locataires,,373,locataires,20260507-BTI-ActivImmo.pdf,373 locataires / 463 baux,verified,
Activimmo,repartition_geo,"{'France': 78.2, 'Espagne': 13.8, 'Portugal': 4.2, 'Italie': 1.5, 'Allemagne': 1, 'Autres': 0.3}","{'France': 77.5, 'Espagne': 13.4, 'Italie': 4.1, 'Pays-Bas': 2.8, 'Irlande': 1.0, 'Portugal': 0.9, '",%,20260507-BTI-ActivImmo.pdf,"Répartition géographique : France 77,5%, Espagne 13,4%, Italie 4,1%, Pays-Bas 2,8%, Irlande 1,0%, Portugal 0,9%, Allemagne 0,3%",verified,
Activimmo,repartition_sectorielle,"{'Entrepôts logistiques': 51, ""Locaux d'activités"": 31, 'Logistique urbaine': 10, 'Transport': 7, 'A","{'Entrepôt logistique': 53.2, ""Locaux d'activités"": 30.8, 'Logistique urbaine': 8.5, 'Transport': 6.",%,20260507-BTI-ActivImmo.pdf,"Répartition typologique : 53,2% / 30,8% / 8,5% / 6,7% / 0,8%",verified,
Activimmo,liquidite,,parts en attente de retrait: 0,,20260507-BTI-ActivImmo.pdf,Parts en attente de retrait en fin de période : 0 (T1 2026). Aucune transaction de gré à gré.,verified,
Activimmo,frequence_distribution,Trimestriel,mensuelle,,20260507-BTI-ActivImmo.pdf,"Distribution mensuelle (janvier 2,54€, février 2,54€, mars 2,42€)",verified,
Activimmo,sfdr_article,,,,,non trouvé dans BT ; DIC absent du lot,manual_review,non trouvé dans BT ; DIC absent du lot
Activimmo,niveau_risque_dic,,,,,non trouvé dans BT ; DIC absent du lot,manual_review,non trouvé dans BT ; DIC absent du lot
Activimmo,duree_placement,8,,ans,,durée de placement recommandée non explicitée dans le BT ; DIC absent du lot,manual_review,durée de placement recommandée non explicitée dans le BT ; DIC absent du lot
Activimmo,frais_souscription,12.72,10.6,% HT,20260507-BTI-ActivImmo.pdf,"commission de souscription 10,6% HT (12,72% TTC)",verified,
Activimmo,frais_gestion,10,,,,commission de gestion non chiffrée dans le BT ; DIC absent du lot,manual_review,commission de gestion non chiffrée dans le BT ; DIC absent du lot
Aestiam Horizon,prix_souscription,350,350,EUR,2026-1t-bti-aestiam-horizon.pdf,350 € Prix de souscription au 31/03/2026,verified,
Aestiam Horizon,prix_retrait,315.00,315,EUR,2026-1t-bti-aestiam-horizon.pdf,315 € Prix de retrait,verified,
Aestiam Horizon,taux_distribution,5.1,5.1,%,2026-1t-bti-aestiam-horizon.pdf,"5,10 % Taux de distribution 2025",verified,
Aestiam Horizon,capitalisation,380,380,MEUR,2026-1t-bti-aestiam-horizon.pdf,380 M€ Capitalisation au 31/03/2026,verified,
Aestiam Horizon,tof,86.5,88.65,%,2026-1t-bti-aestiam-horizon.pdf,"88,65 % TOF",verified,
Aestiam Horizon,endettement,11,11,%,2026-1t-bti-aestiam-horizon.pdf,Ratio dettes et autres engagements 11 %,verified,
Aestiam Horizon,nb_associes,8557,8357,associés,2026-1t-bti-aestiam-horizon.pdf,8 357 Nombre d'associés,verified,
Aestiam Horizon,nb_immeubles,149,146,biens immobiliers,2026-1t-bti-aestiam-horizon.pdf,146 Biens immobiliers,verified,
Aestiam Horizon,nb_locataires,,217,locataires,2026-1t-bti-aestiam-horizon.pdf,217 Locataires,verified,
Aestiam Horizon,repartition_geo,"{'Paris': 20, 'Région Parisienne': 30, 'Régions': 39, 'Etranger': 11}","{'IDF': 29, 'Paris': 21, 'Sud-Est': 12, 'Sud-Ouest': 12, 'Europe': 12, 'Nord-Ouest': 8, 'Nord': 5, '",%,2026-1t-bti-aestiam-horizon.pdf,"Paris 21%, IDF 29%, Nord 5%, Nord-Ouest 8%, Nord-Est 1%, Sud-Est 12%, Sud-Ouest 12%, Europe 12% (dont 9% Luxembourg, 2% Belgique, 1% Allemagne)",verified,
Aestiam Horizon,repartition_sectorielle,"{'Bureaux': 76, 'Commerces': 16, 'Hôtels': 2, 'Enseignement': 4, ""Locaux d'activités"": 2}","{'Bureaux': 76, 'Commerces': 16, 'Hôtels': 4, ""Locaux d'activités"": 2, 'Enseignement': 2}",%,2026-1t-bti-aestiam-horizon.pdf,"Bureaux 76%, Commerces 16%, Hôtels 4%, Locaux d'activités 2%, Enseignement 2%",verified,
Aestiam Horizon,liquidite,,parts en attente de retrait: 44 872,,2026-1t-bti-aestiam-horizon.pdf,"Parts en attente de retraits : 44 872 (T1 2026) ; fonds de remboursement doté 1,3 M€ ; 4 765 parts annulées via fonds de remboursement",verified,liquidité tendue : volume important de parts en attente
Aestiam Horizon,frequence_distribution,Trimestriel,trimestrielle,,2026-1t-bti-aestiam-horizon.pdf,"Dividende brut par part au 1er trimestre 2026 : 4,05 € ; distribution trimestrielle",verified,
Aestiam Horizon,sfdr_article,,8,,AestiamHorizon-DIC.pdf,Aestiam Horizon relève de l'article 8 du Règlement (UE) 2019/2088 dit SFDR,verified,
Aestiam Horizon,niveau_risque_dic,,3,1-7,AestiamHorizon-DIC.pdf,Nous avons classé ce produit dans la classe de risque 3 sur 7,verified,
Aestiam Horizon,duree_placement,10,10,ans,AestiamHorizon-DIC.pdf,durée de détention recommandée de dix (10) ans,verified,
Aestiam Horizon,frais_souscription,12,10,% HT,2026-1t-bti-aestiam-horizon.pdf,Commission de souscription 10 % HT du prix de souscription,verified,
Aestiam Horizon,frais_gestion,9.5,9.5,% HT,2026-1t-bti-aestiam-horizon.pdf,"Commission de gestion 9,5 % HT prélevée sur les produits locatifs HT encaissés et produits financiers nets",verified,
Altixia Cadence 12,prix_souscription,200,200,EUR,doc1-20260430-122013.pdf,PRIX DE SOUSCRIPTION 200€ par part,verified,
Altixia Cadence 12,prix_retrait,182.00,182,EUR,doc1-20260430-122013.pdf,VALEUR DE RETRAIT 182€ par part,verified,
Altixia Cadence 12,taux_distribution,5.15,5.15,%,doc1-20260430-122013.pdf,"TAUX DE DISTRIBUTION 2025 5,15%",verified,
Altixia Cadence 12,capitalisation,190356200190.4,190.36,MEUR,doc1-20260430-122013.pdf,CAPITALISATION 190 356 200€ au 31.03.2026,verified,ancienne valeur du dataset (190356200190.4) aberrante
Altixia Cadence 12,tof,92.5,92.5,%,doc1-20260430-122013.pdf,"TAUX D'OCCUPATION FINANCIER 92,5%",verified,
Altixia Cadence 12,endettement,10.99,10.99,%,doc1-20260430-122013.pdf,"DETTES ET ENGAGEMENTS 10,99%",verified,
Altixia Cadence 12,nb_associes,2448,2448,associés,doc1-20260430-122013.pdf,NOMBRE D'ASSOCIÉS 2 448,verified,
Altixia Cadence 12,nb_immeubles,32,32,actifs,doc1-20260430-122013.pdf,NOMBRE D'ACTIFS 32,verified,
Altixia Cadence 12,nb_locataires,,95,locataires,doc1-20260430-122013.pdf,NOMBRE DE LOCATAIRES 95,verified,
Altixia Cadence 12,repartition_geo,"{'Régions': 56, 'Ile-de-France': 22, 'Paris': 3, 'Espagne': 13, 'Irlande': 6}","{'Régions': 56, 'Ile-de-France': 22, 'Espagne': 13, 'Irlande': 6, 'Paris': 3}",%,doc1-20260430-122013.pdf,"Régions 56%, Ile-de-France 22%, Espagne 13%, Irlande 6%, Paris 3%",verified,
Altixia Cadence 12,repartition_sectorielle,"{'Commerces': 37, 'Activités': 30, 'Bureaux': 29, 'Logistique': 4}","{'Commerces': 37, 'Activités': 30, 'Bureaux': 29, 'Logistique': 4}",%,doc1-20260430-122013.pdf,"Commerces 37%, Activités 30%, Bureaux 29%, Logistique 4%",verified,
Altixia Cadence 12,liquidite,,parts en attente de retrait: 0,,doc1-20260430-122013.pdf,"PARTS EN ATTENTE DE RETRAIT 0 ; Au 31 mars 2026, il n'y avait pas de parts en attente de retrait",verified,
Altixia Cadence 12,frequence_distribution,Mensuel,mensuelle,,doc1-20260430-122013.pdf,La distribution des revenus est mensuelle,verified,
Altixia Cadence 12,sfdr_article,,,,,DIC absent du lot ; SFDR non précisé dans le BT,manual_review,DIC absent du lot ; SFDR non précisé dans le BT
